filename,filepath,relative_path,split,category,ees_score,computation_time_ms,n_qubits,circuit_depth,status
NoImpairment (1).jpg,data\train\No Impairment\NoImpairment (1).jpg,train\No Impairment\NoImpairment (1).jpg,train,No Impairment,0.119422,160.67,10,1,success
NoImpairment (10).jpg,data\train\No Impairment\NoImpairment (10).jpg,train\No Impairment\NoImpairment (10).jpg,train,No Impairment,1.357855,245.97,10,1,success
NoImpairment (100).jpg,data\train\No Impairment\NoImpairment (100).jpg,train\No Impairment\NoImpairment (100).jpg,train,No Impairment,0.821566,96.75,10,1,success
NoImpairment (1000).jpg,data\train\No Impairment\NoImpairment (1000).jpg,train\No Impairment\NoImpairment (1000).jpg,train,No Impairment,0.935618,103.55,10,1,success
NoImpairment (1001).jpg,data\train\No Impairment\NoImpairment (1001).jpg,train\No Impairment\NoImpairment (1001).jpg,train,No Impairment,1.206906,88.88,10,1,success
NoImpairment (1002).jpg,data\train\No Impairment\NoImpairment (1002).jpg,train\No Impairment\NoImpairment (1002).jpg,train,No Impairment,0.63092,94.42,10,1,success
NoImpairment (1003).jpg,data\train\No Impairment\NoImpairment (1003).jpg,train\No Impairment\NoImpairment (1003).jpg,train,No Impairment,0.126699,91.92,10,1,success
NoImpairment (1004).jpg,data\train\No Impairment\NoImpairment (1004).jpg,train\No Impairment\NoImpairment (1004).jpg,train,No Impairment,1.751501,88.7,10,1,success
NoImpairment (1005).jpg,data\train\No Impairment\NoImpairment (1005).jpg,train\No Impairment\NoImpairment (1005).jpg,train,No Impairment,1.306202,86.9,10,1,success
NoImpairment (1006).jpg,data\train\No Impairment\NoImpairment (1006).jpg,train\No Impairment\NoImpairment (1006).jpg,train,No Impairment,0.540505,87.05,10,1,success
NoImpairment (1007).jpg,data\train\No Impairment\NoImpairment (1007).jpg,train\No Impairment\NoImpairment (1007).jpg,train,No Impairment,0.278024,109.63,10,1,success
NoImpairment (1008).jpg,data\train\No Impairment\NoImpairment (1008).jpg,train\No Impairment\NoImpairment (1008).jpg,train,No Impairment,1.29879,85.11,10,1,success
NoImpairment (1009).jpg,data\train\No Impairment\NoImpairment (1009).jpg,train\No Impairment\NoImpairment (1009).jpg,train,No Impairment,1.882569,93.45,10,1,success
NoImpairment (101).jpg,data\train\No Impairment\NoImpairment (101).jpg,train\No Impairment\NoImpairment (101).jpg,train,No Impairment,0.01018,99.77,10,1,success
NoImpairment (1010).jpg,data\train\No Impairment\NoImpairment (1010).jpg,train\No Impairment\NoImpairment (1010).jpg,train,No Impairment,1.144083,104.04,10,1,success
NoImpairment (1011).jpg,data\train\No Impairment\NoImpairment (1011).jpg,train\No Impairment\NoImpairment (1011).jpg,train,No Impairment,0.439186,90.35,10,1,success
NoImpairment (1012).jpg,data\train\No Impairment\NoImpairment (1012).jpg,train\No Impairment\NoImpairment (1012).jpg,train,No Impairment,1.103219,82.82,10,1,success
NoImpairment (1013).jpg,data\train\No Impairment\NoImpairment (1013).jpg,train\No Impairment\NoImpairment (1013).jpg,train,No Impairment,0.093552,88.22,10,1,success
